System,Dataset,MAE_1e_08,RMSE_1e_08,MAPE_1e_08,MAE_1e_05,RMSE_1e_05,MAPE_1e_05,MAE_1_0,RMSE_1_0,MAPE_1_0,MAE_10_0,RMSE_10_0,MAPE_10_0,Best_Ridge,MAE_Best,RMSE_Best,MAPE_Best
corona-weka.filters.unsupervised.attribute.ReplaceMissingValues,corona-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.181010,0.261793,0.121315,0.181010,0.261793,0.121315,0.180935,0.261796,0.121248,0.180282,0.261844,0.120663,2.499615,0.180822,0.261803,0.121147
cranium-weka.filters.unsupervised.attribute.ReplaceMissingValues,cranium-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.070509,0.097622,0.033653,0.070509,0.097622,0.033653,0.070534,0.097616,0.033667,0.070799,0.097608,0.033817,0.354677,0.070518,0.097620,0.033657
cubus-weka.filters.unsupervised.attribute.ReplaceMissingValues,cubus-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.246012,0.336148,0.039864,0.246012,0.336148,0.039864,0.246084,0.336134,0.039877,0.246845,0.336092,0.040017,0.000000,0.246012,0.336148,0.039864
flame-weka.filters.unsupervised.attribute.ReplaceMissingValues,flame-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.058878,0.078107,0.032683,0.058878,0.078107,0.032683,0.058880,0.078107,0.032685,0.058924,0.078142,0.032723,0.198207,0.058879,0.078107,0.032683
france-weka.filters.unsupervised.attribute.ReplaceMissingValues,france-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.147822,0.194216,0.040291,0.147822,0.194216,0.040291,0.147901,0.194209,0.040319,0.148643,0.194231,0.040581,0.340309,0.147849,0.194213,0.040301
frisco-weka.filters.unsupervised.attribute.ReplaceMissingValues,frisco-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.243984,0.329098,0.050088,0.243984,0.329098,0.050088,0.243913,0.329101,0.050070,0.243341,0.329167,0.049917,0.000000,0.243984,0.329098,0.050088
jelly-weka.filters.unsupervised.attribute.ReplaceMissingValues,jelly-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.323366,0.447829,0.168621,0.323366,0.447829,0.168621,0.323179,0.447837,0.168476,0.321515,0.447923,0.167175,5.934874,0.322264,0.447882,0.167760
karte-weka.filters.unsupervised.attribute.ReplaceMissingValues,karte-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.500001,1.866854,0.151402,1.500001,1.866854,0.151402,1.500794,1.866861,0.151450,1.507876,1.867091,0.151876,2.499615,1.501981,1.866879,0.151521
mandelbrot-weka.filters.unsupervised.attribute.ReplaceMissingValues,mandelbrot-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.061927,0.084878,0.046765,0.061927,0.084878,0.046765,0.061922,0.084878,0.046759,0.061878,0.084881,0.046708,4.131135,0.061906,0.084878,0.046741
strawberry-weka.filters.unsupervised.attribute.ReplaceMissingValues,strawberry-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.094764,0.132030,0.054885,0.094764,0.132030,0.054885,0.094733,0.132032,0.054861,0.094477,0.132066,0.054660,0.000000,0.094764,0.132030,0.054885
village-weka.filters.unsupervised.attribute.ReplaceMissingValues,village-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.800798,2.504589,0.565108,1.800798,2.504589,0.565108,1.799882,2.504652,0.564628,1.791695,2.505264,0.560332,5.934874,1.795380,2.504977,0.562266
jpeg-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,jpeg-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.415863,0.564167,0.134834,0.415863,0.564167,0.134834,0.415806,0.564165,0.134806,0.415295,0.564150,0.134557,2.554043,0.415717,0.564162,0.134763
jpeg-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,jpeg-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.176978,0.240659,0.101966,0.176978,0.240659,0.101966,0.176953,0.240658,0.101945,0.176731,0.240652,0.101761,2.554043,0.176914,0.240657,0.101913
jpeg-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,jpeg-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.015000,0.019134,0.035032,0.015000,0.019134,0.035032,0.015000,0.019134,0.035032,0.015001,0.019133,0.035035,2.554043,0.015000,0.019133,0.035033
png-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,png-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.218013,0.281520,0.091963,0.218013,0.281520,0.091963,0.217994,0.281521,0.091949,0.217824,0.281533,0.091824,2.554043,0.217965,0.281523,0.091927
png-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,png-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.023281,0.029541,0.035768,0.023281,0.029541,0.035768,0.023281,0.029542,0.035766,0.023274,0.029544,0.035749,2.554043,0.023279,0.029542,0.035763
png-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,png-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.014777,0.019585,0.032834,0.014777,0.019585,0.032834,0.014777,0.019585,0.032834,0.014776,0.019585,0.032834,2.554043,0.014777,0.019585,0.032834
psd-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,psd-large-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.536911,0.878533,0.014362,0.536911,0.878533,0.014362,0.536791,0.878555,0.014367,0.535963,0.879022,0.014421,0.340718,0.536869,0.878540,0.014364
psd-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,psd-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.067527,0.090486,0.051874,0.067527,0.090486,0.051874,0.067522,0.090486,0.051868,0.067476,0.090487,0.051818,2.554043,0.067514,0.090486,0.051860
