Dataset,Ridge,MAE,RMSE,MAPE
corona,0.00000001,0.185234,0.266404,0.123577
corona,0.00010000,0.178175,0.257500,0.122102
corona,1.00000000,0.180317,0.263498,0.119012
corona,10.00000000,0.179317,0.253841,0.119165
corona,1.69007776,0.187025,0.264927,0.125669
cranium,0.00000001,0.072172,0.100513,0.034138
cranium,0.00010000,0.069889,0.094913,0.034346
cranium,1.00000000,0.068920,0.097468,0.033698
cranium,10.00000000,0.072301,0.098913,0.034045
cranium,0.00000001,0.069017,0.096996,0.032251
cubus,0.00000001,0.250608,0.344024,0.040541
cubus,0.00010000,0.245823,0.324650,0.040239
cubus,1.00000000,0.236017,0.318687,0.038397
cubus,10.00000000,0.249370,0.333543,0.039869
cubus,0.00000001,0.246537,0.340779,0.040225
flame,0.00000001,0.059213,0.080202,0.032651
flame,0.00010000,0.058450,0.077045,0.032863
flame,1.00000000,0.056505,0.075147,0.031356
flame,10.00000000,0.059128,0.076839,0.032322
flame,0.13813990,0.060862,0.080541,0.033865
france,0.00000001,0.151913,0.199784,0.040783
france,0.00010000,0.145727,0.187612,0.040956
france,1.00000000,0.141906,0.184212,0.039794
france,10.00000000,0.149747,0.197465,0.039721
france,0.00000001,0.148173,0.195635,0.038932
frisco,0.00000001,0.247415,0.327575,0.050634
frisco,0.00010000,0.245021,0.328227,0.051505
frisco,1.00000000,0.246405,0.335589,0.051135
frisco,10.00000000,0.248120,0.326355,0.050488
frisco,1.69007776,0.245631,0.321547,0.050236
jelly,0.00000001,0.328524,0.453094,0.170910
jelly,0.00010000,0.317103,0.433202,0.171319
jelly,1.00000000,0.323178,0.450685,0.169645
jelly,10.00000000,0.325359,0.443608,0.166519
jelly,5.93487426,0.329712,0.452830,0.169820
karte,0.00000001,1.530605,1.903306,0.155377
karte,0.00010000,1.503844,1.832578,0.152396
karte,1.00000000,1.456693,1.788960,0.144997
karte,10.00000000,1.499297,1.841851,0.148063
karte,0.19820683,1.515458,1.960709,0.154642
mandelbrot,0.00000001,0.061568,0.085146,0.046421
mandelbrot,0.00010000,0.060066,0.082883,0.045730
mandelbrot,1.00000000,0.060454,0.081754,0.045799
mandelbrot,10.00000000,0.060697,0.084312,0.045156
mandelbrot,1.69007776,0.062197,0.085242,0.046855
strawberry,0.00000001,0.096485,0.134418,0.055602
strawberry,0.00010000,0.090938,0.128670,0.053933
strawberry,1.00000000,0.092325,0.133102,0.054204
strawberry,10.00000000,0.095463,0.130220,0.054947
strawberry,1.69007776,0.094760,0.131920,0.054556
village,0.00000001,1.819633,2.512295,0.569383
village,0.00010000,1.797136,2.411938,0.594304
village,1.00000000,1.815870,2.511838,0.574889
village,10.00000000,1.765756,2.407899,0.539619
village,5.93487426,1.764157,2.400189,0.541559
jpeg-large,0.00000001,0.419900,0.565410,0.137296
jpeg-large,0.00010000,0.415861,0.562048,0.134312
jpeg-large,1.00000000,0.433222,0.567485,0.143677
jpeg-large,10.00000000,0.401591,0.547792,0.128455
jpeg-large,2.55404287,0.416661,0.552521,0.136687
jpeg-medium,0.00000001,0.177999,0.240894,0.103296
jpeg-medium,0.00010000,0.175688,0.238745,0.101070
jpeg-medium,1.00000000,0.184389,0.241849,0.108439
jpeg-medium,10.00000000,0.170860,0.233460,0.097537
jpeg-medium,2.55404287,0.177864,0.236729,0.103489
jpeg-small,0.00000001,0.015133,0.019254,0.035333
jpeg-small,0.00010000,0.014910,0.019140,0.034652
jpeg-small,1.00000000,0.014541,0.018509,0.034090
jpeg-small,10.00000000,0.015214,0.019717,0.035321
jpeg-small,2.55404287,0.014804,0.018902,0.034519
png-large,0.00000001,0.219314,0.283698,0.092699
png-large,0.00010000,0.215411,0.273477,0.091327
png-large,1.00000000,0.222001,0.278377,0.096228
png-large,10.00000000,0.211106,0.272073,0.088316
png-large,2.55404287,0.216744,0.275957,0.092654
png-medium,0.00000001,0.023441,0.029622,0.036072
png-medium,0.00010000,0.022819,0.028765,0.035140
png-medium,1.00000000,0.023110,0.028909,0.035852
png-medium,10.00000000,0.023004,0.028998,0.035236
png-medium,2.55404287,0.023222,0.029220,0.035901
png-small,0.00000001,0.014742,0.019569,0.032698
png-small,0.00010000,0.014720,0.019096,0.032886
png-small,1.00000000,0.014723,0.019360,0.032899
png-small,10.00000000,0.014830,0.019322,0.032872
png-small,2.55404287,0.014842,0.019077,0.033183
psd-large,0.00000001,0.541270,0.890793,0.014373
psd-large,0.00010000,0.534883,0.891651,0.014210
psd-large,1.00000000,0.532709,0.868591,0.014659
psd-large,10.00000000,0.542255,0.886989,0.014443
psd-large,0.00000001,0.528743,0.856446,0.014276
psd-medium,0.00000001,0.068899,0.091918,0.052928
psd-medium,0.00010000,0.067087,0.088671,0.051739
psd-medium,1.00000000,0.068549,0.089010,0.053550
psd-medium,10.00000000,0.065293,0.086910,0.049928
psd-medium,2.55404287,0.067274,0.088404,0.052076
psd-small,0.00000001,0.020309,0.025233,0.036404
psd-small,0.00010000,0.019797,0.024633,0.035394
psd-small,1.00000000,0.020308,0.025320,0.036370
psd-small,10.00000000,0.020192,0.025029,0.036020
psd-small,2.55404287,0.020128,0.025145,0.036073
svg-large,0.00000001,0.029951,0.038150,0.019870
svg-large,0.00010000,0.030620,0.040292,0.020230
svg-large,1.00000000,0.030453,0.039256,0.020229
svg-large,10.00000000,0.030637,0.039839,0.020296
svg-large,2.55404287,0.030312,0.038898,0.020121
svg-medium,0.00000001,0.026098,0.032929,0.016948
svg-medium,0.00010000,0.027564,0.034301,0.017898
svg-medium,1.00000000,0.025755,0.032422,0.016769
svg-medium,10.00000000,0.026404,0.032881,0.017159
svg-medium,2.55404287,0.026868,0.033675,0.017470
svg-small,0.00000001,0.020359,0.025489,0.036077
svg-small,0.00010000,0.020621,0.025911,0.036473
svg-small,1.00000000,0.019445,0.024598,0.034469
svg-small,10.00000000,0.019654,0.024640,0.034840
svg-small,2.55404287,0.020100,0.025086,0.035790
smallbank-1,0.00000001,1110.245570,1322.563442,0.056671
smallbank-1,0.00010000,1130.896245,1368.450253,0.058197
smallbank-1,1.00000000,1153.450314,1384.654646,0.058750
smallbank-1,10.00000000,1119.560854,1349.375335,0.056863
smallbank-1,1.12979515,1105.709478,1339.136845,0.056353
smallbank-10,0.00000001,618.779167,751.291715,0.045276
smallbank-10,0.00010000,642.452219,781.494904,0.048145
smallbank-10,1.00000000,627.887246,744.845143,0.046231
smallbank-10,10.00000000,617.765435,742.629882,0.045129
smallbank-10,4.05073604,618.372342,750.080906,0.045725
tpcc-2,0.00000001,31.222895,38.593033,0.042653
tpcc-2,0.00010000,30.899801,38.298160,0.042598
tpcc-2,1.00000000,30.522586,37.627616,0.041632
tpcc-2,10.00000000,28.618939,36.095219,0.039043
tpcc-2,4.05073604,30.873296,38.082023,0.042311
tpcc-8,0.00000001,106.236395,159.217615,0.194595
tpcc-8,0.00010000,102.037170,159.684832,0.201553
tpcc-8,1.00000000,104.958747,159.371705,0.194814
tpcc-8,10.00000000,107.527038,163.567804,0.200057
